,index,Unnamed: 0,College_Name,State,City,URL_,Address,Phone_Number
51,1997,1997,"Guru Nanak College of Arts, Science and Commerce - Courses",Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"Guru Tegh Bahadur Nagar, Mumbai, Maharashtra 400037, India","['(022) 24071098 / ', ' 9321734389']"
52,2155,2155,Holy Angels College - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/363/university-of-kalyani/,"Vishal Deep, 363/383, C.T.S. No. 19, Mangal Murti Hospital Road, RSC 37/28, Gorai - 2, Borivali West, Mumbai, Maharashtra 400091, India",[' 9322693453']
53,2185,2185,ICLES Motilal Jhunjhunwala College - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"Plot No. 53, Sector 9/A, Amlendu Roy Marg, Vashi Navi Mumbai, Mumbai, Maharashtra 400703, India",['(022) 27663061']
54,2246,2246,Indian Institute of Hardware Technology - IIHT Kharghar,Maharashtra,Mumbai,,"26, First Floor, S.N. Park, Opposite Kharghar Railway Station, Belpada, Sector 3, Kharghar, Mumbai, Maharashtra 410210, India","[' 9321551234, 7666442227']"
55,2290,2290,Indian Statistical Institute - ISI Mumbai - Courses,Maharashtra,Mumbai,http://www.isimumbai.co.in,"Old Central Government Offices Building, 3rd Floor, Room No. 320, 101, Maharshi Karve Road, Churchgate, Mumbai, Maharashtra 400020, India","['(022) 22014588, 22004574']"
56,2346,2346,Institute for Working Professionals - IWP - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/15477/sikkim-manipal-university/,"A/307, Om Rachana CHS Above Hotel Kshirsagar Sector 17, Vash, Mumbai, Maharashtra 400703, India","['(022) 41419439 / ', ' 9322140020']"
57,2359,2359,Institute of Business and Retail Management - IBRM - Courses,Maharashtra,Mumbai,,"03, Laxmi Baug Estate, First Floor, Near Appa Datar Chowk, Phadke Road, Dombivli East, Mumbai, Maharashtra 421201, India","['(0251) 6469649, 6519649 / ', ' 8828899399']"
58,2363,2363,Institute of Business Studies and Research - IBSAR - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"Dahivali, Tarfe Need, Karjat, District - Raigad, Mumbai, Maharashtra 410201, India","['(02148) 220030 / ', ' 7506436965, 9323739213']"
59,2364,2364,Institute of Computer Animation and Design - ICAD - Courses,Maharashtra,Mumbai,,"201, Sterling Ind. Estate, Near Spectra Motor Compound, Ramchander Lane Ext. Malad (W), Mumbai, Maharashtra 400064, India",['(022) 26049797']
60,2392,2392,Institute of Information Security,Maharashtra,Mumbai,http://iisecurity.in/,"5th Floor, Lotus Business Park, Veera Desai Industrial Estate, Near Barbeque Nation, Andheri (W), Mumbai, Maharashtra 400053, India","['(022) 49711576, 26392628, 26399353']"
